This assembly was designed to be compatible with Thorlabs Optical Fixtures Ø1/2'' Posts:  ,,,,,https://www.thorlabs.com/navigation.cfm?guide_id=52  
,,,,,
Component,Quantity,Supplier,ID,Total Price,Reference
3D Printed Post Connection,1,-,-,-,-
3D Printed Plate Connection,1,-,-,-,-
8-32 Insert,1,Global Industrial,T9FB435466, $8.50 ,https://www.globalindustrial.com/p/8-32-flush-press-insert-brass-240-008-br?infoParam.campaignId=T9F&gclid=CjwKCAjwwo-WBhAMEiwAV4dybWMu19UYztrdl-3V_MdwWRwYeZBQNQD_IpSYE9r6HIBnMn1CZGgzFBoCzDIQAvD_BwE 
"8-32, 1.25'' Length, Mil. Spec. Alloy Steel Socket Head Screw",1,McMaster,92562A227, $3.67 ,https://www.mcmaster.com/92562A227/
"8-32. 1/2'' Length, Phillips Thread-Locking Flat Head Screw",1,McMaster,93082A320, $10.62 ,https://www.mcmaster.com/93082A320/
8-32 Low Strenght Steel Hex Nut,2,McMaster,90480A009, $1.81 ,https://www.mcmaster.com/90480A009/
"0-80, 1/8"" Long Thread-Forming Screw",1,McMaster,94209A430, $17.98 ,https://www.mcmaster.com/94209A430/
"6-32, 3/8"" Long Knurled-Head Thumb Screw",1,McMaster,91746A131, $5.36 ,https://www.mcmaster.com/91746A131/
SS Machined Clamp Plates,1,-,-,-,-
SS Machiend LP Headfix,1,-,-,-,-
